date,time,meter_ID,meter_value
2024-07-23,01:30,111-111-111,1890.655
2024-07-23,01:30,333-333-333,1873.442
2024-07-23,01:30,666-666-666,1860.958
2024-07-23,02:00,111-111-111,1891.131
2024-07-23,02:00,333-333-333,1874.287
2024-07-23,02:00,666-666-666,1861.846
2024-07-23,02:30,111-111-111,1891.984
2024-07-23,02:30,333-333-333,1875.287
2024-07-23,02:30,666-666-666,1862.552
2024-07-23,03:00,111-111-111,1892.233
2024-07-23,03:00,333-333-333,1876.117
2024-07-23,03:00,666-666-666,1863.158
2024-07-23,03:30,111-111-111,1892.264
2024-07-23,03:30,333-333-333,1877.106
2024-07-23,03:30,666-666-666,1863.255
2024-07-23,04:00,111-111-111,1892.966
2024-07-23,04:00,333-333-333,1877.192
2024-07-23,04:00,666-666-666,1863.617
2024-07-23,04:30,111-111-111,1893.017
2024-07-23,04:30,333-333-333,1877.429
2024-07-23,04:30,666-666-666,1864.607
2024-07-23,05:00,111-111-111,1893.291
2024-07-23,05:00,333-333-333,1878.379
2024-07-23,05:00,666-666-666,1864.843
2024-07-23,05:30,111-111-111,1894.137
2024-07-23,05:30,333-333-333,1879.049
2024-07-23,05:30,666-666-666,1865.761
2024-07-23,06:00,111-111-111,1894.281
2024-07-23,06:00,333-333-333,1879.913
2024-07-23,06:00,666-666-666,1865.836
2024-07-23,06:30,111-111-111,1895.054
2024-07-23,06:30,333-333-333,1880.784
2024-07-23,06:30,666-666-666,1866.295
2024-07-23,07:00,111-111-111,1895.621
2024-07-23,07:00,333-333-333,1880.882
2024-07-23,07:00,666-666-666,1866.364
2024-07-23,07:30,111-111-111,1896.62
2024-07-23,07:30,333-333-333,1881.418
2024-07-23,07:30,666-666-666,1866.798
2024-07-23,08:00,111-111-111,1897.087
2024-07-23,08:00,333-333-333,1881.889
2024-07-23,08:00,666-666-666,1866.854
2024-07-23,08:30,111-111-111,1897.709
2024-07-23,08:30,333-333-333,1882.438
2024-07-23,08:30,666-666-666,1867.692
2024-07-23,09:00,111-111-111,1898.263
2024-07-23,09:00,333-333-333,1882.905
2024-07-23,09:00,666-666-666,1868.517
2024-07-23,09:30,111-111-111,1898.567
2024-07-23,09:30,333-333-333,1882.977
2024-07-23,09:30,666-666-666,1868.549
2024-07-23,10:00,111-111-111,1898.932
2024-07-23,10:00,333-333-333,1883.557
2024-07-23,10:00,666-666-666,1868.634
2024-07-23,10:30,111-111-111,1898.983
2024-07-23,10:30,333-333-333,1883.574
2024-07-23,10:30,666-666-666,1869.042
2024-07-23,11:00,111-111-111,1899.801
2024-07-23,11:00,333-333-333,1884.215
2024-07-23,11:00,666-666-666,1869.346
2024-07-23,11:30,111-111-111,1899.851
2024-07-23,11:30,333-333-333,1885.101
2024-07-23,11:30,666-666-666,1869.925
2024-07-23,12:00,111-111-111,1900.17
2024-07-23,12:00,333-333-333,1885.977
2024-07-23,12:00,666-666-666,1870.715
2024-07-23,12:30,111-111-111,1900.672
2024-07-23,12:30,333-333-333,1886.754
2024-07-23,12:30,666-666-666,1871.346
2024-07-23,13:00,111-111-111,1901.112
2024-07-23,13:00,333-333-333,1887.423
2024-07-23,13:00,666-666-666,1871.847
2024-07-23,13:30,111-111-111,1901.868
2024-07-23,13:30,333-333-333,1888.389
2024-07-23,13:30,666-666-666,1872.267
2024-07-23,14:00,111-111-111,1902.426
2024-07-23,14:00,333-333-333,1888.448
2024-07-23,14:00,666-666-666,1872.458
2024-07-23,14:30,111-111-111,1902.829
2024-07-23,14:30,333-333-333,1888.861
2024-07-23,14:30,666-666-666,1872.571
2024-07-23,15:00,111-111-111,1903.541
2024-07-23,15:00,333-333-333,1889.41
2024-07-23,15:00,666-666-666,1873.276
2024-07-23,15:30,111-111-111,1903.753
2024-07-23,15:30,333-333-333,1890.077
2024-07-23,15:30,666-666-666,1874.068
2024-07-23,16:00,111-111-111,1904.086
2024-07-23,16:00,333-333-333,1890.21
2024-07-23,16:00,666-666-666,1874.613
2024-07-23,16:30,111-111-111,1904.581
2024-07-23,16:30,333-333-333,1890.675
2024-07-23,16:30,666-666-666,1875.404
2024-07-23,17:00,111-111-111,1904.977
2024-07-23,17:00,333-333-333,1890.901
2024-07-23,17:00,666-666-666,1875.77
2024-07-23,17:30,111-111-111,1905.354
2024-07-23,17:30,333-333-333,1891.611
2024-07-23,17:30,666-666-666,1876.145
2024-07-23,18:00,111-111-111,1905.567
2024-07-23,18:00,333-333-333,1892.065
2024-07-23,18:00,666-666-666,1876.882
2024-07-23,18:30,111-111-111,1906.485
2024-07-23,18:30,333-333-333,1892.705
2024-07-23,18:30,666-666-666,1876.944
2024-07-23,19:00,111-111-111,1907.223
2024-07-23,19:00,333-333-333,1893.541
2024-07-23,19:00,666-666-666,1877.028
2024-07-23,19:30,111-111-111,1907.431
2024-07-23,19:30,333-333-333,1893.85
2024-07-23,19:30,666-666-666,1877.46
2024-07-23,20:00,111-111-111,1908.262
2024-07-23,20:00,333-333-333,1894.383
2024-07-23,20:00,666-666-666,1878.251
2024-07-23,20:30,111-111-111,1908.703
2024-07-23,20:30,333-333-333,1894.778
2024-07-23,20:30,666-666-666,1879.091
2024-07-23,21:00,111-111-111,1909.213
2024-07-23,21:00,333-333-333,1894.94
2024-07-23,21:00,666-666-666,1879.941
2024-07-23,21:30,111-111-111,1909.879
2024-07-23,21:30,333-333-333,1895.632
